texto
"medicina área de salud"
"odontología área de salud"
"enfermería área de salud"
"fisioterapia y kinesiología área de salud"
"bioquímica y farmacia área de salud"
"nutrición y dietetica área de salud"
"ingenieria de sistemas área tecnológica"
"ingenieria electromecanìca área tecnológica"
"ingeniería civil área tecnológica"
"ingeniería electrónica área tecnológica"
"ingeniería de alimentos área tecnológica"
"ingeniería industrial área tecnológica"
"ingeniería electrica área tecnológica"
"ingeniería mecanica área tecnológica"
"ingeniería informatica área tecnológica"
"ingeniería  telecomunicaciones área tecnológica"
"contaduría pública área económica"
"economía área económica"
"administración de empresas área económica"
"ingeniería comercial área económica"
"ingeniería financiera área económica"
"derecho área sociales humanas"
"comunicación social área sociales humanas"
"psicología área sociales humanas"
"ciencias de la educacón área sociales humanas"
"linguistica área sociales humanas"
"trabajo social área sociales humanas"
"sociología área sociales humanas"
"antropología área sociales humanas"
"arquitectura área urbanismo y territorio"
"diseño de interiores área urbanismo y territorio"
"turismo área urbanismo y territorio"
"gastronomía área urbanismo y territorio"
"diseño gráfico área urbanismo y territorio"
"veterinaria y zootecnia área agropecuaria"
"ingeniería ambiental área agropecuaria"
"ingeniería agronómica área agropecuaria"
"ingeníeria agrícola área agropecuaria"
"ingeniería forestal área agropecuaria"
"ingeniería agroindustrial área agropecuaria"
"ingeniería petrolera área agropecuaria"
"Son 39 carreras en cochabamba"
"Pública"
"UMSS (Universidad Mayor de San Simón)"
"Privadas"
"EMI (Escuela Militar de Ingeniería)"
"USIP (Universidad Simón I. Patiño)"
"Unicen"
"UPB (Universidad Privada Boliviana)"
"UCB (Universidad Católica Boliviana)"
"UCATEC (Universidad Privada de Ciencias Administrativas y Tecnológicas)"
"UPDS (Universidad Privada Domingo Savio)"
"UDABOL (Universidad de Aquino de Bolivia)"
"UNIVALLE (Universidad Privada del Valle)"
"UNIFRANZ (Universidad Franz Tamayo)"
"UNITEPC (Universidad Técnica Privada Cosmos)"
"ULAT (Universidad Latinoamericana)"
"Universidad Salesiana"
"UPAL (Universidad Privada Abierta Latinoamericana)"
"Normal"
"ESFM (Escuela Superior de Formación de Maestros)"
"Pública"
"Instituto Tecnológico Sayarinapaj"
"Instituto Tecnológico Ivan Canelas"
"Instituto Tecnológico Maria Cristina"
"Instituto Tecnológico Padre Antonio Berta"
"Instituto Tecnológico Nuestra Señora del Pilar"
"Instituto Técnico Nacional de Comercio 'Alvarez Plata' Nocturno"
"Instituto Técnico Nacional de Comercio 'Alvarez Plata' Diurno"
"Instituto Técnico Nacional de Comercio"
"Instituto Técnico Superior de Comercio y Administración ESAE"
"Instituto Tecnológico Boliviano Canadiense El Paso"
"Instituto Técnico Sacaba"
"Instituto Tecnológico 'Amor Misericordioso' CETAM"
"Instituto Tecnológico Industrial Comercial Puerto Mejillones"
"Instituto Tecnológico Agropecuario Industrial Tarata - ITAIT"
"Escuela Técnica de Salud Boliviano Japonesa de Cooperación Andina"
"Publica"
"Instituto Profesional San Ignacio"
"Instituto Técnico ITSAL"
"Instituto Tecnológico Mundial"
"Instituto Técnico Nacional Andrés Bello"
"Instituto Técnico Británico Mercantil (IBM)"
"Instituto Técnico Ignacia Zeballos"
"Instituto Tecnológico del Sur"
"INFOCAL"
